incident_id,crime_type,district,city,state,address,latitude,longitude,incident_datetime,officer_id,officer_first_name,officer_last_name,badge_number,suspect_id,suspect_first_name,suspect_last_name,suspect_age,suspect_gender,suspect_race,victim_id,victim_first_name,victim_last_name,victim_age,victim_gender,victim_phone,weapon_used,severity,case_status,resolution,num_arrests,property_loss_usd,reported_online,notes
INC002898,Property Damage,Central,oakdale,ny,9798 Elm Blvd,36.632099,-104.196302,2020-03-03 06:46:12,OFF0035,John,Jones,9036.0,SUS00005,Ashley,Harris,49,Female,Black,VIC00682,Mark,Young,47,Unknown,5964449767,Unknown/Not Specified,High,Under Investigation,Pending,0,27438.67,False,Incident at 9798 Elm Blvd. Officer responded at scene.
INC003264,Drug Offense,Central,fairview,az,8650 Elm Blvd,46.424282,-120.996678,2018-09-09 02:11:36,OFF0111,Donna,Thompson,4688.0,No Suspect Identified,No Suspect Identified,No Suspect Identified,46,Unknown,Unknown,VIC00084,Anthony,Nguyen,35,Unknown,8556248658,Blunt Object,Low,Open,Pending,0,41738.8,True,No additional notes
INC003052,Burglary,East,hillcrest,oh,5420 River Rd,47.020966,-83.072251,2020-07-04 13:31:15,OFF0104,James,Taylor,Unknown,SUS00783,Anthony,Martin,33,Male,Asian,VIC00960,Mark,Taylor,55,Male,8322788736,Firearm,Critical,Unknown,Warning Issued,2,0.0,False,Incident at 5420 River Rd. Officer responded at scene.
INC000524,Theft/Larceny,Northeast,centerville,fl,6121 Oak Ave,44.872436,-106.852051,2023-07-30 09:05:34,OFF0014,Joseph,Smith,4335.0,SUS00236,Thomas,Jones,46,Female,Hispanic,VIC00569,Robert,Scott,49,Male,6557603556,Knife,Critical,Resolved,Pending,2,3201.56,True,Incident at 6121 Oak Ave. Officer responded at scene.
INC000560,Fraud,Midtown,centerville,oh,5094 Main St,28.121432,-84.979481,2020-04-01 03:09:00,OFF0046,Donna,Thompson,8121.0,SUS00074,Daniel,Thompson,52,Other,White,VIC00821,Barbara,Johnson,26,Male,,Firearm,High,Unknown,Warning Issued,3,37228.41,True,Incident at 5094 Main St. Officer responded at scene.
INC000812,Drug Offense,North,riverside,ca,5556 River Rd,47.561353,-85.069404,2020-11-26 07:15:19,OFF0133,emily,Nguyen,8079.0,SUS00606,Chris,Garcia,21,Male,Asian,VIC00071,Daniel,Jackson,82,Female,6281223246,Blunt Object,High,Open,No Arrest,0,41473.0,True,No additional notes
INC003999,Armed Robbery,Southeast,centerville,pa,6637 Lincoln St,25.262347,-73.445871,2021-11-05 17:21:18,OFF0097,Ashley,Davis,6651.0,SUS00776,Joseph,Brown,18,Male,Black,VIC00676,Linda,Nguyen,49,Female,8971029006,Knife,Medium,Pending,Pending,3,18747.93,True,Incident at 6637 Lincoln St. Officer responded at scene.
INC003972,Arson,Southwest,centerville,il,3221 Cedar Lane,25.80811,-106.368949,2022-10-07 17:15:25,OFF0141,Charles,Nguyen,7634.0,No Suspect Identified,No Suspect Identified,No Suspect Identified,46,Unknown,Unknown,VIC00846,Donna,Jackson,82,Female,9249858530,Unknown/Not Specified,Critical,Pending,Warning Issued,4,22336.11,True,Incident at 3221 Cedar Lane. Officer responded at scene.
INC000949,Kidnapping,North,maplewood,ca,5783 Main St,40.614362,-80.606867,2024-11-23 19:30:48,OFF0020,Susan,Walker,2599.0,SUS00636,Richard,Wright,57,Unknown,Unknown,VIC00228,Mary,Walker,49,Male,,Unknown/Not Specified,Medium,Unknown,No Arrest,2,31931.65,Unknown,Incident at 5783 Main St. Officer responded at scene.
INC002839,Graffiti,East,hillcrest,fl,5563 Lincoln St,31.366741,-81.476181,2018-08-26 04:50:54,OFF0050,John,Smith,9830.0,SUS00294,Michael,Jones,51,Female,Hispanic,VIC00850,David,Williams,49,Male,,Blunt Object,Medium,Closed,Warning Issued,0,6546.79,Unknown,Incident at 5563 Lincoln St. Officer responded at scene.
INC002859,Trespassing,Midtown,maplewood,pa,1522 Lincoln St,43.213574,-112.532649,2019-10-15 08:23:45,OFF0020,Joseph,Walker,6621.0,SUS00207,Mary,Brown,42,Female,Hispanic,VIC00225,Patricia,Green,12,Male,5271087397,Knife,Low,Closed,Case Dismissed,5,26845.31,True,Incident at 1522 Lincoln St. Officer responded at scene.
INC004651,Cyber Crime,East,oakdale,oh,3806 Washington Ave,39.701184,60.9112,2020-03-20 14:28:36,OFF0059,Sarah,Martin,5314.0,SUS00385,James,Young,35,Male,Black,VIC00777,Donna,Young,55,Female,7013956824,Firearm,Critical,Open,Warning Issued,3,2167.35,False,Incident at 3806 Washington Ave. Officer responded at scene.
INC003793,Armed Robbery,South,lakewood,ca,3852 River Rd,35.044905,-83.999129,2019-01-04 05:16:46,OFF0064,Jessica,Walker,9763.0,SUS00630,Donna,Harris,46,Male,Black,VIC00208,Richard,Anderson,49,Male,,Firearm,Medium,Under Investigation,Arrest Made,3,38573.92,False,Incident at 3852 River Rd. Officer responded at scene.
INC004688,Trespassing,West,lakewood,pa,1550 Sunset Blvd,25.112438,-97.442801,2021-08-28 15:30:49,OFF0094,Anthony,Moore,2483.0,SUS00220,Robert,Wright,58,Other,Unknown,VIC00521,Mark,Harris,33,Female,2942118872,Blunt Object,Medium,Open,Arrest Made,1,8534.94,True,Incident at 1550 Sunset Blvd. Officer responded at scene.
INC003745,Assault,Central,riverside,ny,2767 River Rd,28.234244,-87.0444134042857,2018-01-24 15:33:18,OFF0018,James,Lee,5491.0,SUS00769,Donna,Thompson,54,Unknown,White,VIC00116,Thomas,Miller,74,Female,7626383161,Firearm,Low,Resolved,Arrest Made,2,24970.35,False,Incident at 2767 River Rd. Officer responded at scene.
INC002571,Sexual Assault,North,centerville,az,4669 Washington Ave,25.148272,-93.057116,2023-05-28 05:34:09,OFF0144,Michelle,Flores,4616.0,SUS00376,James,Thompson,61,Male,Hispanic,VIC00147,Susan,Nguyen,49,Other,,Knife,Medium,Unknown,Pending,3,22999.045,False,Incident at 4669 Washington Ave. Officer responded at scene.
INC002592,Fraud,Midtown,riverside,pa,3360 Sunset Blvd,25.974863,-96.956091,2020-08-15 12:17:24,OFF0082,Anthony,Thompson,4313.0,SUS00733,Karen,Green,58,Female,Black,VIC00333,Barbara,Johnson,64,Male,8066824246,Blunt Object,Medium,Closed,Warning Issued,3,23849.59,False,Incident at 3360 Sunset Blvd. Officer responded at scene.
INC003754,Theft/Larceny,South,maplewood,fl,120 Oak Ave,34.995351,-74.532818,2020-05-17 13:46:21,OFF0017,EMILY,Brown,2857.0,SUS00615,Jennifer,Martin,57,Male,Asian,VIC00223,David,Hill,41,Male,7714064573,Unknown/Not Specified,Critical,Pending,No Arrest,0,483.77,True,Incident at 120 Oak Ave. Officer responded at scene.
INC003891,Drug Offense,East,centerville,oh,393 Elm Blvd,36.58518340044988,-89.43987,2018-11-28 21:17:46,OFF0008,David,Moore,3817.0,SUS00378,Sarah,White,31,Female,White,VIC00734,Carol,Wright,69,Male,4869555798,Firearm,Medium,Under Investigation,Arrest Made,2,29148.65,False,No additional notes
INC001824,Trespassing,West,fairview,pa,2876 River Rd,29.118935,-89.958829,2019-07-14 02:11:20,OFF0069,John,Anderson,2450.0,SUS00248,Ashley,Johnson,20,Male,Other,VIC00621,Joseph,Brown,36,Unknown,9175435246,Blunt Object,High,Closed,Pending,0,25983.21,False,No additional notes
INC003739,Theft/Larceny,East,springfield,nc,6343 Sunset Blvd,44.749794,-73.947406,2021-07-18 12:36:42,OFF0031,MICHELLE,Martin,9056.0,SUS00344,Ashley,Moore,63,Male,Hispanic,VIC00171,Daniel,Taylor,43,Male,,Unknown/Not Specified,Medium,Under Investigation,Warning Issued,4,41970.69,False,No additional notes
INC004507,Arson,West,maplewood,nc,3637 Sunset Blvd,40.42485382064297,-71.382964,2020-06-19 16:28:10,OFF0129,Sarah,Torres,9283.0,SUS00485,Susan,Young,42,Female,White,VIC00335,Charles,Martin,39,Male,9832759311,Firearm,Medium,Open,Arrest Made,4,9134.49,True,Incident at 3637 Sunset Blvd. Officer responded at scene.
INC002064,Homicide,Central,lakewood,nc,4740 Washington Ave,44.042164,-89.4352688740032,2021-07-15 16:16:52,OFF0062,Donna,Moore,3585.0,SUS00784,Joseph,Jones,32,Male,Hispanic,VIC00095,James,Martin,33,Female,7698247668,Blunt Object,Critical,Unknown,No Arrest,4,42488.18,True,Incident at 4740 Washington Ave. Officer responded at scene.
INC000769,Domestic Violence,West,lakewood,tx,2829 Main St,37.746236,-75.794667,2020-04-01 01:39:34,OFF0141,Barbara,Jones,7093.0,SUS00038,Nancy,Thomas,63,Female,Unknown,VIC00620,Matthew,White,74,Female,3671332010,Blunt Object,Low,Closed,Pending,2,6820.75,True,No additional notes
INC000900,Trespassing,South,oakdale,fl,9483 Park Rd,26.435438,-89.0162476451078,2023-07-11 10:36:57,OFF0097,Patricia,Anderson,1920.0,No Suspect Identified,No Suspect Identified,No Suspect Identified,46,Unknown,Unknown,VIC00863,Richard,Brown,60,Unknown,2553258101,Unknown/Not Specified,Low,Closed,Arrest Made,0,13459.71,False,Incident at 9483 Park Rd. Officer responded at scene.
INC001193,Trespassing,North,lakewood,oh,4072 Oak Ave,40.228054,-75.920794,2019-07-28 16:30:31,OFF0122,Jennifer,Anderson,Unknown,SUS00293,Charles,Torres,38,Male,Unknown,VIC00013,James,White,83,Male,,Hands/Feet,Medium,Open,Warning Issued,3,7425.53,False,Incident at 4072 Oak Ave. Officer responded at scene.
INC004887,Cyber Crime,North,riverside,ga,1646 Oak Ave,34.412742,-85.854041,2024-01-29 18:13:58,OFF0028,Daniel,Flores,8763.0,SUS00238,Joseph,Moore,50,Unknown,Hispanic,VIC00699,Daniel,Nguyen,17,Female,6243696990,Unknown/Not Specified,Medium,Open,Warning Issued,0,14830.28,False,Incident at 1646 Oak Ave. Officer responded at scene.
INC000015,Assault,West,riverside,ga,3034 Park Rd,29.976847,-96.821673,2024-03-01 04:58:24,OFF0135,Nancy,Moore,2647.0,SUS00199,Susan,Garcia,34,Male,Unknown,VIC00547,Mary,Johnson,80,Female,9142299042,Hands/Feet,High,Open,Arrest Made,2,23469.85,False,Incident at 3034 Park Rd. Officer responded at scene.
INC002728,Burglary,West,oakdale,pa,6010 Cedar Lane,38.426433,-119.113425,2020-04-16 08:11:15,OFF0132,William,Scott,5151.0,SUS00293,Michael,Allen,35,Male,Other,VIC00765,Barbara,Green,49,Male,3058114555,Unknown/Not Specified,Low,Resolved,Pending,0,3381.3,True,Incident at 6010 Cedar Lane. Officer responded at scene.
INC004684,Homicide,Northeast,maplewood,ga,6859 Oak Ave,34.916346,-83.935027,2020-09-09 11:34:44,OFF0078,Emily,Jackson,3050.0,SUS00546,Carol,Johnson,21,Male,Hispanic,VIC00905,Robert,Johnson,21,Female,5485429323,Blunt Object,Low,Open,No Arrest,4,21921.32,True,Incident at 6859 Oak Ave. Officer responded at scene.
INC002900,Arson,Southwest,springfield,ga,5328 Elm Blvd,39.803413,-103.317577,2022-06-14 08:43:36,OFF0101,Barbara,Green,4082.0,SUS00527,Jessica,Moore,34,Male,Unknown,VIC00501,Jessica,Johnson,36,Unknown,5545185824,Hands/Feet,Low,Open,No Arrest,0,22890.42,True,Incident at 5328 Elm Blvd. Officer responded at scene.
INC000244,Trespassing,East,oakdale,tx,919 Sunset Blvd,39.661998,-118.759075,,OFF0140,William,Hill,4181.0,SUS00671,James,Taylor,68,Unknown,White,VIC00920,Mark,Young,56,Female,2147807605,Unknown/Not Specified,High,Unknown,Pending,0,3247.75,True,No additional notes
INC000317,Cyber Crime,Southwest,maplewood,nc,839 Sunset Blvd,47.743973,61.9776,2023-08-17 13:15:02,OFF0142,Barbara,Scott,2898.0,SUS00241,Richard,Thompson,61,Male,Hispanic,VIC00559,James,Hall,64,Female,5367625023,Unarmed,Low,Closed,Warning Issued,5,36550.83,True,Incident at 839 Sunset Blvd. Officer responded at scene.
INC003964,Arson,South,springfield,ga,4240 Cedar Lane,36.75813810180634,-88.5894379804878,2019-01-06 00:57:12,OFF0150,Patricia,Torres,6755.0,SUS00018,Joseph,Flores,15,Female,Unknown,VIC00946,Robert,Green,46,Male,8997643953,Knife,Low,Pending,Case Dismissed,4,891.23,True,Incident at 4240 Cedar Lane. Officer responded at scene.
INC002377,Trespassing,West,maplewood,nc,5442 Lincoln St,34.234368,-86.65302,2024-08-31 09:30:47,OFF0075,Linda,Jones,5568.0,SUS00313,Charles,Anderson,52,Female,Hispanic,VIC00457,Jessica,Brown,49,Female,,Knife,Medium,Closed,Pending,2,23059.41,False,Incident at 5442 Lincoln St. Officer responded at scene.
INC000950,Assault,Southwest,springfield,ny,438 Lincoln St,37.308371,85.9617,2018-09-18 12:05:55,OFF0134,Michael,Wilson,4277.0,SUS00281,Michael,Jackson,46,Male,Black,VIC00541,Carol,Martin,73,Male,8307445076,Firearm,Critical,Under Investigation,Pending,0,13029.45,True,Incident at 438 Lincoln St. Officer responded at scene.
INC001130,Homicide,North,centerville,az,7801 Maple Dr,26.778073,-119.194899,2018-05-24 15:58:33,OFF0053,Jennifer,Garcia,8060.0,SUS00028,Barbara,Scott,70,Male,Asian,VIC00765,Jennifer,Jackson,69,Female,7444177917,Hands/Feet,Medium,Pending,No Arrest,0,40852.02,False,No additional notes
INC000482,Drug Offense,South,hillcrest,ny,5281 Lincoln St,36.382612,-89.385534,2022-10-05 12:16:39,OFF0118,Richard,Thompson,1113.0,SUS00384,Mary,Scott,26,Male,Unknown,VIC00711,Sarah,Torres,21,Female,4713501097,Hands/Feet,Critical,Under Investigation,Warning Issued,0,30173.5,True,Incident at 5281 Lincoln St. Officer responded at scene.
INC003956,Sexual Assault,Midtown,lakewood,ny,5620 Elm Blvd,35.355585,-90.877583,2018-12-03 18:49:17,OFF0057,Ashley,Hill,8927.0,SUS00497,Anthony,Jackson,66,Female,Other,VIC00090,Barbara,Thompson,39,Male,3773475641,Firearm,Low,Resolved,Arrest Made,2,33823.25,False,No additional notes
INC004230,Arson,South,maplewood,ga,5167 Cedar Lane,27.148476,-80.946078,2020-11-15 19:01:00,OFF0117,Matthew,Williams,8890.0,No Suspect Identified,No Suspect Identified,No Suspect Identified,46,Unknown,Unknown,VIC00677,Mark,Martin,23,Unknown,3298727137,Firearm,Medium,Under Investigation,Warning Issued,3,22336.11,False,Incident at 5167 Cedar Lane. Officer responded at scene.
INC000567,Drug Offense,Midtown,maplewood,tx,2799 Washington Ave,47.521741,-104.824812,2024-11-14 06:49:42,OFF0133,Anthony,Flores,2812.0,SUS00386,Matthew,Lee,26,Male,Asian,VIC00211,Patricia,Young,38,Female,7458802502,Knife,Low,Open,Case Dismissed,4,3251.53,True,Incident at 2799 Washington Ave. Officer responded at scene.
INC002306,Graffiti,Southeast,riverside,il,3774 Lincoln St,31.024657,-104.666615,2022-02-11 08:30:08,OFF0128,  Chris  ,Anderson,2414.0,SUS00223,Chris,Allen,26,Female,Unknown,VIC00881,Barbara,Moore,49,Unknown,4393566312,Hands/Feet,Medium,Open,Warning Issued,0,24930.0,True,Incident at 3774 Lincoln St. Officer responded at scene.
INC000867,Burglary,North,oakdale,nc,1212 Maple Dr,34.82311,-97.225538,2018-07-12 13:26:43,OFF0123,Nancy,Martin,3325.0,No Suspect Identified,No Suspect Identified,No Suspect Identified,46,Unknown,Unknown,No Victim Identified,No Victim Identified,No Victim Identified,49,Unknown,,Blunt Object,Critical,Pending,Pending,5,28975.86,True,Incident at 1212 Maple Dr. Officer responded at scene.
INC003546,Theft/Larceny,Midtown,centerville,fl,921 Cedar Lane,42.814437,-88.038978,2023-05-18 06:27:40,OFF0015,David,Scott,1379.0,SUS00575,Mark,Jones,44,Unknown,Unknown,VIC00332,Nancy,Allen,74,Female,3514238351,Firearm,Medium,Under Investigation,Warning Issued,0,25250.59,False,Incident at 921 Cedar Lane. Officer responded at scene.
INC000650,Theft/Larceny,South,riverside,ca,3567 Washington Ave,45.744,-117.203431,2018-12-24 18:19:04,OFF0130,  donna  ,Scott,8850.0,No Suspect Identified,No Suspect Identified,No Suspect Identified,46,Unknown,Unknown,VIC00833,Patricia,Davis,36,Male,3621235079,Hands/Feet,Medium,Open,Arrest Made,2,21492.87,False,No additional notes
INC004001,Trespassing,Central,hillcrest,ny,7883 Park Rd,26.183893,-116.922163,2024-02-05 17:11:19,OFF0003,William,Taylor,4897.0,SUS00280,Thomas,Hall,72,Male,Hispanic,VIC00993,Richard,Nguyen,19,Male,8282281575,Hands/Feet,High,Pending,Pending,4,33414.71,True,Incident at 7883 Park Rd. Officer responded at scene.
INC004659,Arson,North,lakewood,fl,5915 Main St,25.750817,-98.651542,2022-12-09 13:43:53,OFF0025,jennifer,Young,Unknown,SUS00514,William,Torres,41,Male,White,VIC00812,Charles,Moore,78,Male,3787224095,Unknown/Not Specified,Medium,Under Investigation,Pending,4,42965.02,True,Incident at 5915 Main St. Officer responded at scene.
INC002962,Kidnapping,West,oakdale,oh,237 Maple Dr,47.353581,-109.76991,2018-06-15 20:50:57,OFF0059,Carol,Brown,9011.0,SUS00671,Matthew,Davis,17,Male,Asian,VIC00142,Jessica,Nguyen,21,Female,5109132226,Unknown/Not Specified,Critical,Unknown,Pending,5,8345.88,True,Incident at 237 Maple Dr. Officer responded at scene.
INC000403,Drunk Driving,Midtown,riverside,ny,2584 Oak Ave,47.248778,-70.119269,2024-06-20 00:15:36,OFF0147,Joseph,Jones,2002.0,SUS00708,Michelle,Harris,63,Male,Hispanic,VIC00335,Michelle,Martin,49,Male,4937457763,Firearm,Medium,Closed,Arrest Made,1,42957.18,True,No additional notes
INC000529,Drunk Driving,North,fairview,fl,8485 Maple Dr,41.0958690964467,-99.823607,2020-01-12 03:48:48,OFF0002,Donna,Thompson,8653.0,SUS00196,James,Thompson,73,Unknown,Hispanic,VIC00129,Anthony,Smith,68,Male,4296683734,Unarmed,Medium,Closed,Warning Issued,0,45992.69,False,No additional notes
INC003033,Cyber Crime,Northeast,riverside,ca,3853 Maple Dr,47.486281,-84.4065,2019-09-27 21:25:33,OFF0100,Linda,Taylor,5319.0,SUS00768,Carol,White,50,Female,Asian,VIC00499,Ashley,Jackson,10,Female,6826607304,Knife,Low,Open,Arrest Made,2,39258.03,True,Incident at 3853 Maple Dr. Officer responded at scene.
INC001611,Fraud,Northeast,riverside,ca,1869 Cedar Lane,32.361281,-74.194224,2021-10-08 11:52:48,OFF0027,  Joseph  ,Hall,4323.0,No Suspect Identified,No Suspect Identified,No Suspect Identified,46,Unknown,Unknown,VIC00193,Patricia,Green,18,Male,7169758295,Firearm,Low,Resolved,Case Dismissed,0,31832.75,True,Incident at 1869 Cedar Lane. Officer responded at scene.
INC003846,Homicide,Southwest,lakewood,nc,5327 Main St,37.225832,-106.451411,2020-07-17 10:10:56,OFF0017,John,Jackson,8968.0,No Suspect Identified,No Suspect Identified,No Suspect Identified,46,Unknown,Unknown,VIC00874,Joseph,Williams,49,Female,5515284227,Blunt Object,Critical,Open,No Arrest,1,14314.61,True,Incident at 5327 Main St. Officer responded at scene.
INC002810,Manslaughter,Northeast,lakewood,oh,8729 Sunset Blvd,40.061159763492064,-115.686993,2020-08-17 09:51:32,OFF0095,Chris,Martin,5581.0,No Suspect Identified,No Suspect Identified,No Suspect Identified,46,Unknown,Unknown,VIC00253,David,Moore,90,Female,6783887476,Firearm,Critical,Under Investigation,No Arrest,3,38587.52,True,Incident at 8729 Sunset Blvd. Officer responded at scene.
INC003225,Robbery,Southwest,lakewood,ca,3401 Washington Ave,40.068917,-97.577698,2019-10-29 17:10:36,OFF0113,James,Thomas,3272.0,SUS00332,Robert,Thompson,22,Unknown,Unknown,No Victim Identified,No Victim Identified,No Victim Identified,49,Unknown,,Unarmed,Low,Unknown,No Arrest,3,24950.43,True,No additional notes
INC003580,Vandalism,Southwest,fairview,oh,3642 River Rd,37.02668,-70.788066,2019-11-10 00:00:00,OFF0074,Charles,Wright,5870.0,SUS00788,Emily,Scott,39,Other,White,No Victim Identified,No Victim Identified,No Victim Identified,49,Unknown,,Firearm,Medium,Under Investigation,No Arrest,0,39046.99,False,Incident at 3642 River Rd. Officer responded at scene.
INC001075,Vandalism,East,fairview,tx,7867 Maple Dr,47.644934,-83.933901,2022-03-04 10:09:10,OFF0146,Jessica,Davis,2313.0,No Suspect Identified,No Suspect Identified,No Suspect Identified,46,Unknown,Unknown,VIC00704,Michelle,Wright,45,Unknown,5989362315,Unknown/Not Specified,Low,Unknown,Pending,2,4603.23,True,Incident at 7867 Maple Dr. Officer responded at scene.
INC002803,Vandalism,Northwest,springfield,fl,3987 River Rd,35.603016,-74.325311,2023-02-25 05:49:29,OFF0066,Carol,Torres,9588.0,No Suspect Identified,No Suspect Identified,No Suspect Identified,46,Unknown,Unknown,VIC00258,Linda,Anderson,90,Male,3282954128,Firearm,Low,Closed,Case Dismissed,5,18814.07,False,No additional notes
INC004842,Sexual Assault,Southwest,lakewood,nc,2154 Main St,39.038353,-112.629343,2022-04-18 08:01:12,OFF0042,Mark,Thomas,Unknown,SUS00580,Karen,Johnson,72,Female,White,VIC00979,Linda,Anderson,78,Male,3847382609,Unarmed,Critical,Closed,Case Dismissed,5,22999.045,True,Incident at 2154 Main St. Officer responded at scene.
INC000028,Fraud,Northeast,fairview,fl,1252 Washington Ave,39.564167,68.4369,2019-08-26 10:30:28,OFF0090,Susan,Wright,3419.0,No Suspect Identified,No Suspect Identified,No Suspect Identified,46,Unknown,Unknown,VIC00263,Nancy,Jones,19,Other,9917439095,Unknown/Not Specified,Medium,Resolved,Arrest Made,3,34056.67,False,Incident at 1252 Washington Ave. Officer responded at scene.
INC000495,Arson,Central,centerville,ca,3975 Maple Dr,26.017491,-88.54306817251909,2021-11-30 22:06:21,OFF0131,Nancy,Jackson,9496.0,SUS00748,Michael,Taylor,37,Unknown,Hispanic,VIC00014,Joseph,Davis,22,Male,3749604572,Hands/Feet,Medium,Closed,Arrest Made,5,2135.4,False,Incident at 3975 Maple Dr. Officer responded at scene.
INC000788,Burglary,West,fairview,il,2062 Washington Ave,39.660225,-87.953205,2024-01-15 01:03:50,OFF0045,susan,Walker,2110.0,No Suspect Identified,No Suspect Identified,No Suspect Identified,46,Unknown,Unknown,VIC00925,Mary,Miller,55,Unknown,5079801235,Firearm,High,Unknown,Arrest Made,2,3152.67,True,Incident at 2062 Washington Ave. Officer responded at scene.
INC001664,Vandalism,South,oakdale,tx,912 River Rd,32.954956,-105.691779,2018-10-19 14:21:21,OFF0056,Thomas,Jones,3800.0,SUS00169,Nancy,Scott,27,Female,White,VIC00524,Anthony,Wilson,88,Unknown,,Firearm,High,Open,Pending,4,27245.81,False,No additional notes
INC001691,Burglary,Southeast,centerville,ca,4356 River Rd,31.325604,-86.792666,2023-09-14 21:53:45,OFF0119,John,Flores,6210.0,SUS00216,Michael,Harris,41,Male,Unknown,VIC00115,William,Torres,74,Female,9345188511,Hands/Feet,Critical,Closed,Warning Issued,0,36801.45,True,Incident at 4356 River Rd. Officer responded at scene.
INC002005,Drug Offense,North,riverside,az,7062 Main St,37.726638,-87.455628,2022-01-11 18:42:34,OFF0073,Anthony,Nguyen,7616.0,SUS00421,Daniel,Brown,46,Male,Asian,VIC00025,Donna,Anderson,59,Other,8442802406,Knife,Critical,Closed,Arrest Made,3,13173.14,True,Incident at 7062 Main St. Officer responded at scene.
INC003053,Drunk Driving,North,springfield,ga,463 Cedar Lane,29.529052,-81.066666,2021-05-12 13:40:27,OFF0086,Mark,Jones,3148.0,SUS00495,Charles,Hill,47,Female,Asian,No Victim Identified,No Victim Identified,No Victim Identified,49,Unknown,,Firearm,Medium,Resolved,Arrest Made,4,46590.53,False,Incident at 463 Cedar Lane. Officer responded at scene.
